X,Y,ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,wptx1_Wayp,layer,path
44.170593,-20.780631,60.647449000000002,2019/03/01 05:32:07.000,,,6 022805,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.170377,-20.780698,63.972701999999998,2019/03/01 05:35:37.000,,,6 022804,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.17034,-20.781021,64.606200999999999,2019/03/01 05:42:21.000,,,6 011604,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.169642,-20.780631,50.577446000000002,2019/03/01 05:49:55.000,,,6 022803,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.169611,-20.780613,59.652676000000000,2019/03/01 05:54:07.000,,,6 022802,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.169602,-20.780588,61.253520999999999,2019/03/01 05:59:14.000,,,6 022801,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.169593,-20.780586,,2019/03/03 05:30:26.000,,,3 030309,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_03-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_03-MAR-19.gpx|layername=waypoints
44.17032,-20.78095,78.373688000000001,2019/02/04 10:20:32.000,,,001,CT 1 D30,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-FEB-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-FEB-19.gpx|layername=waypoints
44.17035,-20.780899,69.126472000000007,2019/02/04 10:29:38.000,,,002,CT 2 D31,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-FEB-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-FEB-19.gpx|layername=waypoints
44.172754,-20.780143,64.528464999999997,2019/02/04 10:54:05.000,,,003,CT 3 M34,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-FEB-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-FEB-19.gpx|layername=waypoints
