MVI020202,B39,,,10,0.43,,2019-02-02,3019-03-07,6,Y,,,,"6 020202",3,3
MVI020203,E40,,,5,0.1,,2019-02-02,2019-02-17,6,Y,,,,"6 020203",3,1
MVI020204,E40,,,5,0.29,,2019-02-02,2019-02-17,6,Y,,,,"6 020204",3,2
MIII020301,S32,,,10,0.34,,2019-02-03,2019-03-01,3,Y,,Y,,"3 020301",7,4
MIII020302,S32,,,,,,2019-02-03,,3,Y,,,"Looked several times",,,
MVI020501,F37,,,10,0.4,,2019-02-05,2019-03-05,6,Y,,,,"6 020501",3,2
MIII020601,Z22,,,5,0.39,,2019-02-06,2019-02-21,3,Y,,,,"3 020601",2,2
MIII020602,Y21,,,4,0.42,Mafiaboa,2019-02-06,3019-03-07,3,Y,Meredith,,,"3 020602",3,3
MIII020603,W20,,,4,0.13,,2019-02-06,2019-02-27,3,Y,,Y,,"3 020603",2,1
MIII020604,U20,,,2,0.84,Dead,2019-02-06,2019-02-27,3,Y,Meredith,Y,"Tree is horizontal","3 020604",0,0
MIII020605,T20,,,5,0.31,Dead?,2019-02-06,2019-02-27,3,Y,Meredith,Y,,"3 020605",1,1
MII020701,J22,,,4,0.19,Hazomby,2019-02-07,2019-03-04,2,Y,Meredith,,,"2 020701",2,1
MII020702,D19,,,6,0.2,Hazomby,2019-02-07,3019-03-07,2,Y,Meredith,,,"2 020702",2,1
MII020703,F21,,,5,0.32,Hazomby,2019-02-07,3019-03-07,2,Y,Meredith,,,"2 020703",5,3
MII020704,G21,,,6,0.26,Hazoboenga,2019-02-07,2019-03-04,2,Y,Meredith,Y,,"2 020704",3,2
MVI021001,J30,,,5,0.29,Hazomby,2019-02-10,2019-03-01,6,Y,Meredith,Y,,"6 021001",6,2
MVI021002,M30,,,7,0.74,,2019-02-10,2019-03-01,6,Y,,Y,,"6 021002",6,2
MVI021003,M30,,,5,0.27,Hazomby,2019-02-10,2019-03-01,6,Y,Meredith,Y,,"6 021003",4,3
MVI021004,N31,,,4,0.21,Hazomby,2019-02-10,2019-03-01,6,Y,Meredith,Y,,"6 021004",3,1
MII021201,W11,,,7,0.36,,2019-02-12,2019-02-23,2,Y,,Y,,"2 021201",3,1.5
MII021202,W9,,,5,0.17,,2019-02-12,2019-02-23,2,Y,,Y,,"2 021202",3,2
MII021203,W10,,,4,0.36,,2019-02-12,2019-02-23,2,Y,,Y,,"2 021303",3,3
MII021301,W11,,,9,0.64,,2019-02-13,2019-02-23,2,Y,,Y,,"2 021301",5,4
MII021302,W11,,,5,0.34,Hamaniomby,2019-02-13,2019-02-23,2,Y,Francis,Y,,"2 021302",3,2
MII021303,O7,,,6,0.35,Hazoboegna,2019-02-13,2019-03-05,2,Y,Francis,,,"2 021303",4,2
MII021304,N8,,,6,0.14,Hazoboegna,2019-02-13,2019-03-05,2,Y,Francis,,,"2 021304",2,1
MIII021401,P29,,,4,0.28,Hazomby,2019-02-14,2019-03-01,3,Y,Meredith,Y,,"3 021401",3,3
MIII021402,Q30,,,4,0.25,Hazomby,2019-02-14,2019-03-01,3,Y,Meredith,Y,,"3 021402",2,1
MIII021403,Q31,,,10,0.32,Hazoboenga,2019-02-14,2019-03-01,3,Y,Meredith,Y,,"3 021403",4,4
MIII021404,R31,,,4,0.61,Dead,2019-02-14,2019-03-01,3,Y,Meredith,Y,,"3 021404",0,0
MVI021501,K37,,,8,0.46,,2019-02-15,2019-02-17,6,Y,,,,"6 021501",2,1
MVI021502,J36,,,5,0.36,,2019-02-15,2019-02-17,6,Y,,,,"6 021502",1,1
MVI021503,L30,,,,,,2019-02-15,,6,Y,,,"*Need to mark",,,
MVI021504,J30,,,7,0.25,Hazomby,2019-02-15,2019-03-01,6,Y,Meredith,Y,,"6 021504",6,3
MVI021505,H30,,,,,,2019-02-15,,6,Y,,,"*Need to mark?",,,
MVI021601,E37,,,13,3.71,Fony,2019-02-16,2019-02-17,6,Y,Meredith,,,"6 021601",12.5,9
